scenario,query,faithfulness_score,reason
Activity/Purpose Based,1. I need something comfortable for walking around the city all day,1.0,The score is 1.00 because there are no contradictions between the actual output and the retrieval context.
Activity/Purpose Based,2. Looking for shoes that I can wear both at the gym and casual outings,1.0,The score is 1.00 because there are no contradictions between the actual output and the retrieval context. Great job!
Activity/Purpose Based,3. Need something for my daily morning jogs,1.0,The score is 1.00 because there are no contradictions between the actual output and the retrieval context.
Style/Appearance Based,1. I want something that looks vintage but still modern,0.9166666666666666,The score is 0.92 because there is a minor contradiction in the actual output where it incorrectly states the location of the Vans Off-the-Wall bumper logo on The Vans Classic Slip-On.
Style/Appearance Based,2. Looking for sneakers that aren't too flashy but still stylish,0.9230769230769231,"The score is 0.92 because the actual output inaccurately describes the colorway of the Converse TURBOWPN Mid Rick Owens DRKSHDW as Black/Cloud Cream/Egret, while the retrieval context clearly states it as black and white."
Style/Appearance Based,3. Want some cool streetwear vibes in my shoes,1.0,"The score is 1.00 because there are no contradictions present, indicating a perfect alignment between the retrieval context and the actual output."
Comfort/Experience Based,"1. My feet hurt after long walks, need something supportive",1.0,The score is 1.00 because there are no contradictions between the actual output and the retrieval context.
Comfort/Experience Based,2. Want something light and breathable for summer,0.9285714285714286,"The score is 0.93 because while the actual output accurately describes the shoe having yellow trim, it fails to mention that this trim matches the laces and the 'UN/LA' label as per the retrieval context."
Comfort/Experience Based,3. Need shoes that don't make my feet sweaty,1.0,The score is 1.00 because there are no contradictions in the actual output. The information presented aligns perfectly with the retrieval context.
Occasion Based,1. Need sneakers I can wear to work but also look cool,1.0,The score is 1.00 because there are no contradictions present in the actual output compared to the retrieval context.
Occasion Based,2. Want something suitable for both indoor and outdoor activities,1.0,The score is 1.00 because there are no contradictions present between the actual output and the retrieval context.
Occasion Based,3. Looking for shoes I can wear to casual parties,1.0,The score is 1.00 because there are no contradictions present between the actual output and the retrieval context.
Mixed Requirements,1. Want something comfortable but also looks good with jeans,1.0,The score is 1.00 because there are no contradictions present. The 'actual output' perfectly aligns with the information presented in the 'retrieval context'. Great job!
Mixed Requirements,2. Need breathable shoes for summer that aren't too sporty looking,1.0,The score is 1.00 because there were no contradictions found between the actual output and the retrieval context. Great job!
Mixed Requirements,3. Looking for stylish sneakers that I can also use for light exercise,0.9333333333333333,"The score is 0.93 because there is a minor contradiction in the actual output claim regarding the shoe's colorway. It incorrectly mentions a black and white colorway, while the retrieval context specifies the shoe's colorway as Black/Cloud Cream/Egret."
Specific Problem Based,"1. I have flat feet, need something comfortable",0.9,"The score is 0.90 because the actual output incorrectly states that the adidas Yeezy 700 V3 'Safflower' 2024 is encapsulated in a cream-colored polyurethane carrier, when the retrieval context clearly states that it's a full-length EVA midsole that is encapsulated in the carrier."
Specific Problem Based,"2. My ankles usually hurt when walking, need good support",0.9523809523809523,The score is 0.95 because there is a slight discrepancy in the actual output's description of the ASICS Gel-Kayano 14 Cream Black Metallic Plum colorway. It calls it 'Cream/Black' instead of the 'cream-and-black' as stated in the retrieval context.
Specific Problem Based,3. Want something that won't make my feet tired during long shifts,0.8888888888888888,"The score is 0.89 because the actual output incorrectly states that the ribbed TPU cage of the adidas Yeezy Boost 350 V2 'Steel Grey' maintains the shoe's monochrome aesthetic, while the retrieval context indicates that the cage wraps the full-length Boost midsole."
